# 第二表
# 一、同音代替字
嫡	嫡.er2
镝	镝.er2
谄	谄.er2
陷	陷.er2
掐	掐.er2
馅	馅.er2
焰	焰.er2
隹	隹.er2
准	准.er2
谁	谁.er2
难	难.er2
傩	傩.er2
摊	摊.er2
滩	滩.er2
瘫	瘫.er2
堆	堆.er2
推	推.er2
唯	唯.er2
帷	帷.er2
惟	惟.er2
淮	淮.er2
维	维.er2
潍	潍.er2
椎	椎.er2
雅	雅.er2
稚	稚.er2
雏	雏.er2
碓	碓.er2
睢	睢.er2
锥	锥.er2
雌	雌.er2
榫	榫.er2
售	售.er2
雀	雀.er2
雇	雇.er2
翟	翟.er2
瞿	瞿.er2
崔	崔.er2
催	催.er2
摧	摧.er2
焦	焦.er2
憔	憔.er2
樵	樵.er2
礁	礁.er2
蕉	蕉.er2
鹤	鹤.er2
截	截.er2
蔺	蔺.er2
躏	躏.er2
雁	雁.er2
雍	雍.er2
壅	壅.er2
攫	攫.er2
暹	暹.er2
鹳	鹳.er2
颧	颧.er2
獾	獾.er2
杰	𣎶
点	点.er2
热	热.er2
烈	烈.er2
羔	羔.er2
糕	糕.er2
羹	羹.er2
庶	庶.er2
鹧	鹧.er2
蔗	蔗.er2
遮	遮.er2
焘	焘.er2
烹	烹.er2
焉	焉.er2
煮	煮.er2
黑	黑.er2
默	默.er2
黔	黔.er2
黝	黝.er2
黯	黯.er2
嘿	嘿.er2
墨	墨.er2
熏	熏.er2
醺	醺.er2
煎	煎.er2
煦	煦.er2
煞	煞.er2
熬	熬.er2
熙	熙.er2
罴	罴.er2
熊	熊.er2
燕	燕.er2
黎	𪏭
藜	𦿾
祭	𥙊
恭	恭.er2
慕	慕.er2
添	添.er2
舔	舔.er2
黍	𮮑
傣	傣.er2

# 詞組同音代替字
# 因本字型不易處理詞組簡化，人工選擇用途限定的字一律套用
咛	宁
哆	多
嗦	索
吩	分
咐	付
圪	咯
垯	嗒
疙	咯
瘩	嗒
纥	咯
繨	嗒
鬎	瘌
鬁	痢.er2
嘹	辽
喨	亮
蹓	溜.er1
跶	达
柠	宁
檬	蒙.er1
礡	薄.er2
徬	㝑
徨	皇
蜻	青.er1
蜓	𨑳
舢	舢.er2
舨	板
鹦	嬰.er1
鹉	武

# 依序推演的對應 (先轉第一表，再轉第二表)
衿	𥘞
袢	𥘽
褐	褐.er2

# 擅自類推常用字
噍	噍.er2
嫖	嫖.er2
盈	盈.er2
盎	盎.er2
腱	腱.er2
舫	舫.er2
舺	舺.er2
艋	艋.er2
蕨	芵
貘	獏
隼	隼.er2
雉	雉.er2
霈	霈.er2
霏	霏.er2
魉	魉.er2
魍	魍.er2
魑	魑.er2
黛	黛.er2
黜	黜.er2
